Categoría,Período,Valor,Fuente,Codigo,DescripcionCompleta
H,3º Trim 2005,161822.0,C3,,
I,3º Trim 2005,386830.0,C3,,
J,3º Trim 2005,117472.0,C3,,
K,3º Trim 2005,747554.0,C3,,
M,3º Trim 2005,341234.0,C3,,
N,3º Trim 2005,202733.0,C3,,
O,3º Trim 2005,306251.0,C3,,
Total general,3º Trim 2005,4719712.0,C3,,
A,4º Trim 2005,296325.0,C3,,
B,4º Trim 2005,14865.0,C3,,
C,4º Trim 2005,52684.0,C3,,
D,4º Trim 2005,1010893.0,C3,,
E,4º Trim 2005,50454.0,C3,,
F,4º Trim 2005,329801.0,C3,,
G,4º Trim 2005,791458.0,C3,,
H,4º Trim 2005,172252.0,C3,,
I,4º Trim 2005,395679.0,C3,,
J,4º Trim 2005,119662.0,C3,,
K,4º Trim 2005,789560.0,C3,,
M,4º Trim 2005,344536.0,C3,,
N,4º Trim 2005,207320.0,C3,,
O,4º Trim 2005,315919.0,C3,,
Total general,4º Trim 2005,4891408.0,C3,,
A,1º Trim 2006,318659.0,C3,,
B,1º Trim 2006,16012.0,C3,,
C,1º Trim 2006,54880.0,C3,,
D,1º Trim 2006,1035402.0,C3,,
E,1º Trim 2006,51752.0,C3,,
F,1º Trim 2006,342454.0,C3,,
G,1º Trim 2006,812787.0,C3,,
H,1º Trim 2006,183644.0,C3,,
I,1º Trim 2006,405860.0,C3,,
J,1º Trim 2006,120313.0,C3,,
K,1º Trim 2006,809219.0,C3,,
M,1º Trim 2006,332751.0,C3,,
N,1º Trim 2006,211087.0,C3,,
O,1º Trim 2006,323738.0,C3,,
Total general,1º Trim 2006,5018558.0,C3,,
A,2º Trim 2006,315350.0,C3,,
B,2º Trim 2006,16828.0,C3,,
C,2º Trim 2006,55641.0,C3,,
D,2º Trim 2006,1049942.0,C3,,
E,2º Trim 2006,51168.0,C3,,
F,2º Trim 2006,355865.0,C3,,
G,2º Trim 2006,819481.0,C3,,
H,2º Trim 2006,176849.0,C3,,
I,2º Trim 2006,413714.0,C3,,
J,2º Trim 2006,123601.0,C3,,
K,2º Trim 2006,810895.0,C3,,
M,2º Trim 2006,353990.0,C3,,
N,2º Trim 2006,211714.0,C3,,
O,2º Trim 2006,323171.0,C3,,
Total general,2º Trim 2006,5078209.0,C3,,
A,3º Trim 2006,306262.0,C3,,
B,3º Trim 2006,15243.0,C3,,
C,3º Trim 2006,56782.0,C3,,
D,3º Trim 2006,1063773.0,C3,,
E,3º Trim 2006,51732.0,C3,,
F,3º Trim 2006,362932.0,C3,,
G,3º Trim 2006,836668.0,C3,,
H,3º Trim 2006,183314.0,C3,,
I,3º Trim 2006,420999.0,C3,,
J,3º Trim 2006,126398.0,C3,,
K,3º Trim 2006,823683.0,C3,,
M,3º Trim 2006,356092.0,C3,,
N,3º Trim 2006,215731.0,C3,,
O,3º Trim 2006,329300.0,C3,,
Total general,3º Trim 2006,5148909.0,C3,,
A,4º Trim 2006,312654.0,C3,,
B,4º Trim 2006,14923.0,C3,,
C,4º Trim 2006,58901.0,C3,,
D,4º Trim 2006,1086738.0,C3,,
E,4º Trim 2006,52090.0,C3,,
F,4º Trim 2006,383999.0,C3,,
G,4º Trim 2006,866297.0,C3,,
