Período,Sector,Altas,Bajas,Creacion_Neta
2º Trim 2014,D,36256.0,33591.0,2665.0
1º Trim 2015,D,42814.0,34346.0,8468.0
1º Trim 2015,D,44447.0,36680.0,7767.0
1º Trim 2015,D,38948.0,35198.0,3750.0
2º Trim 2015,D,34789.0,34870.0,-81.0
1º Trim 2016,D,38878.0,42284.0,-3406.0
1º Trim 2016,D,31729.0,49131.0,-17402.0
1º Trim 2016,D,28494.0,41557.0,-13063.0
2º Trim 2016,D,34072.0,39400.0,-5328.0
1º Trim 2017,D,41773.0,40336.0,1437.0
1º Trim 2017,D,33858.0,43536.0,-9678.0
1º Trim 2017,D,32225.0,39941.0,-7716.0
2º Trim 2017,D,35504.0,33368.0,2136.0
1º Trim 2018,D,42020.0,38653.0,3367.0
1º Trim 2018,D,33127.0,48891.0,-15764.0
1º Trim 2018,D,25251.0,46650.0,-21399.0
2º Trim 2018,D,26191.0,43935.0,-17744.0
1º Trim 2019,D,35090.0,39205.0,-4115.0
1º Trim 2019,D,29077.0,45141.0,-16064.0
1º Trim 2019,D,27113.0,37970.0,-10857.0
2º Trim 2019,D,24640.0,39251.0,-14611.0
1º Trim 2020,D,34298.0,31777.0,2521.0
1º Trim 2020,D,20892.0,37493.0,-16601.0
1º Trim 2020,D,31355.0,24454.0,6901.0
2º Trim 2020,D,37213.0,25161.0,12052.0
1º Trim 2021,D,44437.0,25688.0,18749.0
1º Trim 2021,D,35620.0,30033.0,5587.0
1º Trim 2021,D,31711.0,29352.0,2359.0
2º Trim 2021,D,36011.0,25622.0,10389.0
1º Trim 2022,D,48891.0,23381.0,25510.0
1º Trim 2022,D,41849.0,31317.0,10532.0
1º Trim 2022,D,39448.0,28132.0,11316.0
2º Trim 2022,D,37563.0,28548.0,9015.0
1º Trim 2023,D,48602.0,26987.0,21615.0
1º Trim 2023,D,36983.0,35364.0,1619.0
1º Trim 2023,D,34798.0,28918.0,5880.0
2º Trim 2023,D,28634.0,32689.0,-4055.0
1º Trim 2024,D,34523.0,35728.0,-1205.0
1º Trim 2024,D,23898.0,47915.0,-24017.0
1º Trim 2024,D,27643.0,34125.0,-6482.0
2º Trim 2024,D,34758.0,29685.0,5073.0
1º Trim 2025,D,38863.0,33244.0,5619.0
1º Trim 2025,D,30954.0,46932.0,-15978.0
1º Trim 1996,E,1628.0,1268.0,360.0
1º Trim 1996,E,1902.0,1288.0,614.0
2º Trim 1996,E,781.0,1547.0,-766.0
1º Trim 1997,E,1177.0,956.0,221.0
1º Trim 1997,E,1274.0,967.0,307.0
1º Trim 1997,E,3187.0,815.0,2372.0
2º Trim 1997,E,1073.0,834.0,239.0
1º Trim 1998,E,1101.0,744.0,357.0
1º Trim 1998,E,745.0,729.0,16.0
1º Trim 1998,E,1815.0,801.0,1014.0
2º Trim 1998,E,933.0,1597.0,-664.0
1º Trim 1999,E,1334.0,1438.0,-104.0
1º Trim 1999,E,882.0,910.0,-28.0
1º Trim 1999,E,1965.0,938.0,1027.0
2º Trim 1999,E,1298.0,1338.0,-40.0
1º Trim 2000,E,1109.0,1560.0,-451.0
1º Trim 2000,E,962.0,822.0,140.0
1º Trim 2000,E,552.0,1061.0,-509.0
2º Trim 2000,E,1202.0,672.0,530.0
1º Trim 2001,E,767.0,751.0,16.0
1º Trim 2001,E,695.0,806.0,-111.0
1º Trim 2001,E,1102.0,846.0,256.0
2º Trim 2001,E,571.0,967.0,-396.0
1º Trim 2002,E,518.0,1393.0,-875.0
1º Trim 2002,E,308.0,1967.0,-1659.0
1º Trim 2002,E,400.0,562.0,-162.0
2º Trim 2002,E,444.0,535.0,-91.0
1º Trim 2003,E,500.0,487.0,13.0
1º Trim 2003,E,544.0,368.0,176.0
1º Trim 2003,E,632.0,335.0,297.0
2º Trim 2003,E,533.0,390.0,143.0
1º Trim 2004,E,1511.0,515.0,996.0
